EWZ: iShares MSCI Brazil ETF
Inception Date: 2000-07-10
Fund Holdings as of: 2026-01-15
Total Assets Under Management (in thousands):	7265700
Shares Outstanding: 218150000
Expense Ratio: 0.59%
Tracks This Index: MSCI Brazil 25/50 Index
ETF Database Category: Latin America Equities
"Issuer: BlackRock, Inc."
Structure: ETF
ETF Home Page: https://etfdb.com/etf/EWZ


Holding,Symbol,Weighting
Nu Holdings Ltd. Class A,NU,11.9043%
Vale S.A.,VALE3,11.1154%
Itau Unibanco Holding SA Pfd,ITUB4,8.5859%
Petroleo Brasileiro SA Pfd,PETR4,5.5975%
Petroleo Brasileiro SA,PETR3,4.9306%
Banco Bradesco SA Pfd,BBDC4,3.612%
"B3 SA - Brasil, Bolsa, Balcao",B3SA3,3.3405%
WEG SA,WEGE3,3.2691%
Embraer S.A.,EMBJ3,2.9505%
Ambev SA,ABEV3,2.8025%
Banco BTG Pactual SA Units Cons of 1 Sh + 2 Pfd Shs A,BPAC11,2.7444%
AXIA Energia SA,AXIA3,2.6229%
Companhia de Saneamento Basico do Estado de Sao Paulo SABESP,SBSP3,2.5786%
Itausa SA Non-Cum Perp Pfd Registered Shs,ITSA4,2.5043%
Equatorial S.A.,EQTL3,1.9331%
Localiza Rent A Car SA,RENT3,1.6779%
Suzano S.A.,SUZB3,1.5881%
Banco do Brasil S.A.,BBAS3,1.5767%
Prio SA,PRIO3,1.5414%
XP Inc. Class A,XP,1.4759%
Raia Drogasil S.A.,RADL3,1.4406%
Rede D\'Or Sao Luiz SA,RDOR3,1.4088%
JBS N.V. Class A,JBS,1.3276%
Gerdau S.A. Pfd,GGBR4,1.3098%
Vibra Energia SA,VBBR3,1.2642%
Telefonica Brasil S.A.,VIVT3,1.1795%
BB Seguridade Participacoes SA,BBSE3,1.0742%
TOTVS S.A.,TOTS3,1.0718%
TIM S.A.,TIMS3,0.9067%
Companhia Energetica de Minas Gerais SA Pfd,CMIG4,0.8549%
AXIA Energia SA Non-Cum Perp Pfd Registered Shs C,AXIA7,0.8181%
Rumo SA,RAIL3,0.7897%
Ultrapar Participacoes S.A.,UGPA3,0.7595%
Motiva Infraestrutura de Mobilidade SA,MOTV3,0.7227%
Klabin SA Ctf de Deposito de Acoes Cons of 1 Sh + 4 Pfd Shs,KLBN11,0.7112%
Energisa SA Units Cons of 1 Sh + 4 Pfd Shs,ENGI11,0.6844%
Companhia Paranaense de Energia,CPLE3,0.659%
AXIA Energia SA Non-Cum Perp Pfd Registered Shs,AXIA6,0.6267%
Banco Bradesco SA,BBDC3,0.6213%
CPFL Energia S.A.,CPFE3,0.6036%
Eneva S.A.,ENEV3,0.494%
Caixa Seguridade Participacoes SA,CXSE3,0.4765%
ENGIE Brasil Energia S.A.,EGIE3,0.4482%
U.S. Dollar,Other,0.3964%
Porto Seguro S.A.,PSSA3,0.3592%
MBRF Global Foods Company S.A.,MBRF3,0.336%
StoneCo Ltd. Class A,STNE,0.3036%
EQUITY OTHER,Other,0.0%
