IVV: iShares Core S&P 500 ETF
Inception Date: 2000-05-15
Fund Holdings as of: 2026-01-16
Total Assets Under Management (in thousands):	766197000
Shares Outstanding: 1102350000
Expense Ratio: 0.03%
Tracks This Index: S&P 500 Index
ETF Database Category: Large Cap Growth Equities
"Issuer: BlackRock, Inc."
Structure: ETF
ETF Home Page: https://etfdb.com/etf/IVV


Holding,Symbol,Weighting
NVIDIA Corporation,NVDA,7.6195%
Apple Inc.,AAPL,6.3574%
Microsoft Corporation,MSFT,5.7547%
"Amazon.com, Inc.",AMZN,3.9167%
Alphabet Inc. Class A,GOOGL,3.2327%
Broadcom Inc.,AVGO,2.7965%
Alphabet Inc. Class C,GOOG,2.5864%
Meta Platforms Inc Class A,META,2.2744%
"Tesla, Inc.",TSLA,2.0699%
Berkshire Hathaway Inc. Class B,BRK.B,1.523%
JPMorgan Chase & Co.,JPM,1.4322%
Eli Lilly and Company,LLY,1.3884%
Visa Inc. Class A,V,0.9329%
Exxon Mobil Corporation,XOM,0.9223%
Johnson & Johnson,JNJ,0.887%
Walmart Inc.,WMT,0.8838%
Mastercard Incorporated Class A,MA,0.7448%
Costco Wholesale Corporation,COST,0.719%
"Micron Technology, Inc.",MU,0.6856%
Palantir Technologies Inc. Class A,PLTR,0.6575%
"AbbVie, Inc.",ABBV,0.6379%
"Home Depot, Inc.",HD,0.6372%
"Advanced Micro Devices, Inc.",AMD,0.6355%
"Netflix, Inc.",NFLX,0.6278%
Bank of America Corp,BAC,0.5992%
GE Aerospace,GE,0.5774%
Procter & Gamble Company,PG,0.5686%
Oracle Corporation,ORCL,0.5412%
Chevron Corporation,CVX,0.5298%
Caterpillar Inc.,CAT,0.5097%
UnitedHealth Group Incorporated,UNH,0.5049%
"Cisco Systems, Inc.",CSCO,0.4989%
"Goldman Sachs Group, Inc.",GS,0.4858%
International Business Machines Corporation,IBM,0.4811%
Lam Research Corporation,LRCX,0.4715%
Wells Fargo & Company,WFC,0.4671%
Coca-Cola Company,KO,0.4592%
RTX Corporation,RTX,0.4558%
Philip Morris International Inc.,PM,0.4551%
"Merck & Co., Inc.",MRK,0.4548%
"Applied Materials, Inc.",AMAT,0.4386%
Thermo Fisher Scientific Inc.,TMO,0.3914%
Morgan Stanley,MS,0.3846%
McDonald\'s Corporation,MCD,0.3686%
"Salesforce, Inc.",CRM,0.364%
Abbott Laboratories,ABT,0.3565%
Citigroup Inc.,C,0.3556%
Intel Corporation,INTC,0.3545%
KLA Corporation,KLAC,0.3468%
Linde plc,LIN,0.3451%
"PepsiCo, Inc.",PEP,0.3369%
Walt Disney Company,DIS,0.3343%
American Express Company,AXP,0.33%
Boeing Company,BA,0.3266%
"Intuitive Surgical, Inc.",ISRG,0.3193%
Amphenol Corporation Class A,APH,0.3182%
GE Vernova Inc.,GEV,0.3113%
Amgen Inc.,AMGN,0.2996%
Accenture Plc Class A,ACN,0.2988%
"Uber Technologies, Inc.",UBER,0.2968%
TJX Companies Inc,TJX,0.2949%
"NextEra Energy, Inc.",NEE,0.2933%
Texas Instruments Incorporated,TXN,0.2931%
Charles Schwab Corp,SCHW,0.292%
QUALCOMM Incorporated,QCOM,0.2875%
"S&P Global, Inc.",SPGI,0.2852%
"BlackRock, Inc.",BLK,0.2826%
AT&T Inc,T,0.2804%
Booking Holdings Inc.,BKNG,0.2776%
Verizon Communications Inc.,VZ,0.2762%
"Lowe\'s Companies, Inc.",LOW,0.2621%
"Gilead Sciences, Inc.",GILD,0.261%
AppLovin Corp. Class A,APP,0.2592%
U.S. Dollar,Other,0.2573%
Capital One Financial Corp,COF,0.256%
Intuit Inc.,INTU,0.256%
Danaher Corporation,DHR,0.2498%
"Analog Devices, Inc.",ADI,0.2487%
Pfizer Inc.,PFE,0.2455%
Honeywell International Inc.,HON,0.2345%
Union Pacific Corporation,UNP,0.2292%
"Arista Networks, Inc.",ANET,0.2257%
Eaton Corp. Plc,ETN,0.2248%
"ServiceNow, Inc.",NOW,0.2224%
Welltower Inc.,WELL,0.2212%
Boston Scientific Corporation,BSX,0.2198%
Deere & Company,DE,0.2177%
"Palo Alto Networks, Inc.",PANW,0.2161%
Stryker Corporation,SYK,0.2108%
Newmont Corporation,NEM,0.2097%
Medtronic Plc,MDT,0.209%
Adobe Inc.,ADBE,0.2087%
"Prologis, Inc.",PLD,0.2083%
ConocoPhillips,COP,0.2043%
Blackstone Inc.,BX,0.2033%
Parker-Hannifin Corporation,PH,0.2006%
Lockheed Martin Corporation,LMT,0.1997%
Progressive Corporation,PGR,0.1997%
"CrowdStrike Holdings, Inc. Class A",CRWD,0.1918%
Bristol-Myers Squibb Company,BMY,0.1894%
Vertex Pharmaceuticals Incorporated,VRTX,0.1885%
Chubb Limited,CB,0.1853%
