QQQ: Invesco QQQ Trust Series I
Inception Date: 1999-03-10
Fund Holdings as of: 2026-01-16
Total Assets Under Management (in thousands):	409030000
Shares Outstanding: 658150000
Expense Ratio: 0.2%
Tracks This Index: NASDAQ-100 Index
ETF Database Category: Large Cap Growth Equities
Issuer: Invesco
Structure: UIT
ETF Home Page: https://etfdb.com/etf/QQQ


Holding,Symbol,Weighting
NVIDIA Corporation,NVDA,8.934%
Apple Inc.,AAPL,7.4542%
Microsoft Corporation,MSFT,6.7474%
"Amazon.com, Inc.",AMZN,5.0463%
"Tesla, Inc.",TSLA,3.8205%
Alphabet Inc. Class A,GOOGL,3.7901%
Meta Platforms Inc Class A,META,3.5958%
Alphabet Inc. Class C,GOOG,3.5258%
Broadcom Inc.,AVGO,3.2787%
Costco Wholesale Corporation,COST,2.3272%
"Micron Technology, Inc.",MU,2.2246%
Palantir Technologies Inc. Class A,PLTR,2.1282%
"Advanced Micro Devices, Inc.",AMD,2.0566%
"Netflix, Inc.",NFLX,2.032%
"Cisco Systems, Inc.",CSCO,1.6188%
Lam Research Corporation,LRCX,1.5259%
"Applied Materials, Inc.",AMAT,1.4194%
Intel Corporation,INTC,1.2205%
"T-Mobile US, Inc.",TMUS,1.1355%
KLA Corporation,KLAC,1.1224%
Linde plc,LIN,1.1169%
"PepsiCo, Inc.",PEP,1.0901%
"Shopify, Inc. Class A",SHOP,1.038%
"Intuitive Surgical, Inc.",ISRG,1.0334%
Amgen Inc.,AMGN,0.9694%
AppLovin Corp. Class A,APP,0.9533%
Texas Instruments Incorporated,TXN,0.9484%
QUALCOMM Incorporated,QCOM,0.9303%
Booking Holdings Inc.,BKNG,0.8985%
"Gilead Sciences, Inc.",GILD,0.8444%
Intuit Inc.,INTU,0.8268%
"Analog Devices, Inc.",ADI,0.801%
Honeywell International Inc.,HON,0.7589%
"Palo Alto Networks, Inc.",PANW,0.7127%
Adobe Inc.,ADBE,0.6754%
ASML Holding NV Sponsored ADR,ASML,0.6494%
"CrowdStrike Holdings, Inc. Class A",CRWD,0.6206%
Vertex Pharmaceuticals Incorporated,VRTX,0.6101%
Starbucks Corporation,SBUX,0.5761%
"Automatic Data Processing, Inc.",ADP,0.5739%
"MercadoLibre, Inc.",MELI,0.5732%
Comcast Corporation Class A,CMCSA,0.5509%
Constellation Energy Corporation,CEG,0.5236%
"Synopsys, Inc.",SNPS,0.5225%
"Marriott International, Inc. Class A",MAR,0.4765%
"Cadence Design Systems, Inc.",CDNS,0.4708%
"DoorDash, Inc. Class A",DASH,0.4546%
"O\'Reilly Automotive, Inc.",ORLY,0.4355%
Cintas Corporation,CTAS,0.4279%
Monster Beverage Corporation,MNST,0.4161%
Western Digital Corporation,WDC,0.4126%
"Regeneron Pharmaceuticals, Inc.",REGN,0.4125%
"Mondelez International, Inc. Class A",MDLZ,0.4024%
PDD Holdings Inc. Sponsored ADR Class A,PDD,0.3885%
"Warner Bros. Discovery, Inc. Series A",WBD,0.3858%
Seagate Technology Holdings PLC,STX,0.3796%
"Marvell Technology, Inc.",MRVL,0.3779%
CSX Corporation,CSX,0.3678%
"American Electric Power Company, Inc.",AEP,0.3491%
PACCAR Inc,PCAR,0.3473%
"Ross Stores, Inc.",ROST,0.3408%
NXP Semiconductors NV,NXPI,0.3251%
"IDEXX Laboratories, Inc.",IDXX,0.3112%
"Autodesk, Inc.",ADSK,0.3069%
"Fortinet, Inc.",FTNT,0.3054%
"Airbnb, Inc. Class A",ABNB,0.3028%
Thomson Reuters Corporation,TRI,0.3006%
AstraZeneca PLC Sponsored ADR,AZN,0.3002%
"PayPal Holdings, Inc.",PYPL,0.29%
Electronic Arts Inc.,EA,0.2783%
Baker Hughes Company Class A,BKR,0.2782%
Fastenal Company,FAST,0.2736%
Axon Enterprise Inc,AXON,0.2735%
Ferrovial SE,FER,0.2727%
"Monolithic Power Systems, Inc.",MPWR,0.2697%
"Alnylam Pharmaceuticals, Inc",ALNY,0.2586%
Strategy Inc Class A,MSTR,0.2534%
Exelon Corporation,EXC,0.2462%
"Roper Technologies, Inc.",ROP,0.2441%
Xcel Energy Inc.,XEL,0.2437%
"Take-Two Interactive Software, Inc.",TTWO,0.2418%
"Diamondback Energy, Inc.",FANG,0.2362%
Coca-Cola Europacific Partners plc,CCEP,0.2229%
Cognizant Technology Solutions Corporation Class A,CTSH,0.2228%
Microchip Technology Incorporated,MCHP,0.22%
"Paychex, Inc.",PAYX,0.218%
"Workday, Inc. Class A",WDAY,0.2168%
"Copart, Inc.",CPRT,0.2165%
"Datadog, Inc. Class A",DDOG,0.211%
GE Healthcare Technologies Inc.,GEHC,0.2029%
Keurig Dr Pepper Inc.,KDP,0.2029%
"Old Dominion Freight Line, Inc.",ODFL,0.2001%
Insmed Incorporated,INSM,0.1876%
"Zscaler, Inc.",ZS,0.1859%
"Verisk Analytics, Inc.",VRSK,0.1674%
Kraft Heinz Company,KHC,0.1518%
"CoStar Group, Inc.",CSGP,0.1509%
"DexCom, Inc.",DXCM,0.1478%
"Charter Communications, Inc. Class A",CHTR,0.1338%
Atlassian Corp Class A,TEAM,0.1086%
U.S. Dollar,Other,0.0931%
ARM Holdings PLC Sponsored ADR,ARM,0.0798%
